case,task,subtask,score,value,alg_number,alg_name,phase
1,braintumor,BRATS_L1,DCS,0.12354638703963,1,BCVuniandes,1
1,braintumor,BRATS_L2,DCS,0.10641348959106,1,BCVuniandes,1
1,braintumor,BRATS_L1,HSD,0.3012989,1,BCVuniandes,1
1,braintumor,BRATS_L2,HSD,0.4320982,1,BCVuniandes,1
2,braintumor,BRATS_L1,DCS,0.670548523206751,1,BCVuniandes,1
2,braintumor,BRATS_L2,DCS,0,1,BCVuniandes,1
2,braintumor,BRATS_L1,HSD,0.94032973,1,BCVuniandes,1
2,braintumor,BRATS_L2,HSD,0,1,BCVuniandes,1
3,braintumor,BRATS_L1,DCS,0.616170924052803,1,BCVuniandes,1
3,braintumor,BRATS_L2,DCS,0.896613272732291,1,BCVuniandes,1
3,braintumor,BRATS_L1,HSD,0.96244496,1,BCVuniandes,1
3,braintumor,BRATS_L2,HSD,0.96365535,1,BCVuniandes,1
4,braintumor,BRATS_L1,DCS,0.794326535052502,1,BCVuniandes,1
4,braintumor,BRATS_L2,DCS,0.361382258639116,1,BCVuniandes,1
4,braintumor,BRATS_L3,DCS,0.72344249201278,1,BCVuniandes,1
4,braintumor,BRATS_L1,HSD,0.9352906,1,BCVuniandes,1
4,braintumor,BRATS_L2,HSD,0.6069413,1,BCVuniandes,1
4,braintumor,BRATS_L3,HSD,0.9599354,1,BCVuniandes,1
5,braintumor,BRATS_L1,DCS,0.868228565143266,1,BCVuniandes,1
5,braintumor,BRATS_L2,DCS,0,1,BCVuniandes,1
5,braintumor,BRATS_L1,HSD,0.957643,1,BCVuniandes,1
5,braintumor,BRATS_L2,HSD,0,1,BCVuniandes,1
6,braintumor,BRATS_L1,DCS,0.80900707071762,1,BCVuniandes,1
6,braintumor,BRATS_L2,DCS,0.836865337945004,1,BCVuniandes,1
6,braintumor,BRATS_L3,DCS,0.770179838266257,1,BCVuniandes,1
6,braintumor,BRATS_L1,HSD,0.9770538,1,BCVuniandes,1
6,braintumor,BRATS_L2,HSD,0.8901916,1,BCVuniandes,1
6,braintumor,BRATS_L3,HSD,0.99018073,1,BCVuniandes,1
7,braintumor,BRATS_L1,DCS,0.751167500103319,1,BCVuniandes,1
7,braintumor,BRATS_L2,DCS,0.899093450817589,1,BCVuniandes,1
7,braintumor,BRATS_L3,DCS,0.893718696870836,1,BCVuniandes,1
7,braintumor,BRATS_L1,HSD,0.9912077,1,BCVuniandes,1
7,braintumor,BRATS_L2,HSD,0.9931851,1,BCVuniandes,1
7,braintumor,BRATS_L3,HSD,0.9999402,1,BCVuniandes,1
8,braintumor,BRATS_L1,DCS,0.864733914751835,1,BCVuniandes,1
8,braintumor,BRATS_L2,DCS,0.665705765407555,1,BCVuniandes,1
8,braintumor,BRATS_L3,DCS,0.627911606609596,1,BCVuniandes,1
8,braintumor,BRATS_L1,HSD,0.90532523,1,BCVuniandes,1
8,braintumor,BRATS_L2,HSD,0.7491348,1,BCVuniandes,1
8,braintumor,BRATS_L3,HSD,0.8634112,1,BCVuniandes,1
9,braintumor,BRATS_L1,DCS,0.658477128244348,1,BCVuniandes,1
9,braintumor,BRATS_L2,DCS,0.474415949769642,1,BCVuniandes,1
9,braintumor,BRATS_L3,DCS,0.547540381791483,1,BCVuniandes,1
9,braintumor,BRATS_L1,HSD,0.8555796,1,BCVuniandes,1
9,braintumor,BRATS_L2,HSD,0.57169515,1,BCVuniandes,1
9,braintumor,BRATS_L3,HSD,0.7690047,1,BCVuniandes,1
10,braintumor,BRATS_L1,DCS,0.704919242920837,1,BCVuniandes,1
10,braintumor,BRATS_L2,DCS,0.459016393442623,1,BCVuniandes,1
10,braintumor,BRATS_L3,DCS,0.481814701378254,1,BCVuniandes,1
10,braintumor,BRATS_L1,HSD,0.8033954,1,BCVuniandes,1
10,braintumor,BRATS_L2,HSD,0.85955787,1,BCVuniandes,1
10,braintumor,BRATS_L3,HSD,0.9022901,1,BCVuniandes,1
11,braintumor,BRATS_L1,DCS,0.477149400109524,1,BCVuniandes,1
11,braintumor,BRATS_L2,DCS,0.559570667092707,1,BCVuniandes,1
11,braintumor,BRATS_L3,DCS,0.698376810357699,1,BCVuniandes,1
11,braintumor,BRATS_L1,HSD,0.7719975,1,BCVuniandes,1
11,braintumor,BRATS_L2,HSD,0.91970485,1,BCVuniandes,1
11,braintumor,BRATS_L3,HSD,0.97388804,1,BCVuniandes,1
12,braintumor,BRATS_L1,DCS,0.521942397362237,1,BCVuniandes,1
12,braintumor,BRATS_L2,DCS,0.546630935998648,1,BCVuniandes,1
12,braintumor,BRATS_L3,DCS,0.629093770809371,1,BCVuniandes,1
12,braintumor,BRATS_L1,HSD,0.74189913,1,BCVuniandes,1
12,braintumor,BRATS_L2,HSD,0.76355153,1,BCVuniandes,1
12,braintumor,BRATS_L3,HSD,0.8620414,1,BCVuniandes,1
13,braintumor,BRATS_L1,DCS,0.63043645770268,1,BCVuniandes,1
13,braintumor,BRATS_L2,DCS,0.676361453672378,1,BCVuniandes,1
13,braintumor,BRATS_L3,DCS,0.166666666666667,1,BCVuniandes,1
13,braintumor,BRATS_L1,HSD,0.87821805,1,BCVuniandes,1
13,braintumor,BRATS_L2,HSD,0.8251077,1,BCVuniandes,1
13,braintumor,BRATS_L3,HSD,0.6935361,1,BCVuniandes,1
14,braintumor,BRATS_L1,DCS,0.382050903569998,1,BCVuniandes,1
14,braintumor,BRATS_L2,DCS,0.0156150414276609,1,BCVuniandes,1
14,braintumor,BRATS_L3,DCS,0.619111259605747,1,BCVuniandes,1
14,braintumor,BRATS_L1,HSD,0.66679233,1,BCVuniandes,1
14,braintumor,BRATS_L2,HSD,0.28317794,1,BCVuniandes,1
14,braintumor,BRATS_L3,HSD,0.8238803,1,BCVuniandes,1
15,braintumor,BRATS_L1,DCS,0.797928167382267,1,BCVuniandes,1
15,braintumor,BRATS_L1,HSD,0.9288293,1,BCVuniandes,1
